Jahr,Anz_Kinder_VA,Anz_BP,Anz_BP_priv_Kitas_mK,Anz_subv_BP_Kitas_mK
2022,22663,12185,11292,3888
2021,23383,11988,11172,3958
2020,23750,11579,10909,4016
2019,24050,11331,10126,4119
2018,24159,10860,9653,3773
2017,23871,10331,8740,3549
2016,23082,9599,7933,3236
2015,22682,8859,6881,3110
2014,22164,8603,6515,3040
2013,21490,8088,6146,2978
2012,21015,7593,5748,2847
2011,20504,7021,5192,2632
2010,19890,6394,4708,2515
2009,19413,5908,4316,2375
2008,18611,5543,4149,2091
2007,18103,5218,3742,1786
2006,17286,4231,2939,1599
